Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
"""Toits rouges et arbes"".",90640,116530,142430,Stamped,nogiven,Oil / Canvas,856,Van Ham Kunstauktionen,"05/11/2012
                ",sold,27.3,17.3
COURONNE DE ROSES,134500,100000,150000,Unavailable,1858,Oil / Canvas,142,Sotheby's New York,"05/03/2012
                ",sold,50.5,60.96
LE VILLAGE DE CAGNES VU DE LA TERRASE DES COLLETTES,590500,300000,400000,Signed Lower Right,nogiven,Oil / Canvas,149,Sotheby's New York,"05/03/2012
                ",sold,43.51,30.48
PAULE GOBILLARD,68500,60000,80000,Signed,1890,Acrylic / Paper,211,Sotheby's New York,"05/03/2012
                ",sold,34.29,41.61
LE JARDIN DES COLLETTES,458500,380000,450000,Signed Lower Left,1909,Oil / Canvas,212,Sotheby's New York,"05/03/2012
                ",sold,29.21,26.04
"PAYSAGE, ÉTANG ET FOND D'ARBRES",122500,80000,120000,Stamped,1913,Oil / Canvas,223,Sotheby's New York,"05/03/2012
                ",sold,40.97,32.08
ÉTUDES DE PERSONNAGES,158500,120000,180000,Signed Lower Left,nogiven,Oil / Canvas,360,Sotheby's New York,"05/03/2012
                ",sold,14.3,32.08
PORTRAIT DE CÉZANNE,4226500,3000000,5000000,Signed and Dated,1880,Pastel / Paper,39,Sotheby's New York,"05/02/2012
                ",sold,43.51,53.67
LE CHÂLET DE BLANCHE PIERSON À POURVILLE,1762500,1500000,2000000,Signed Lower Left,1882,Oil / Canvas,56,Sotheby's New York,"05/02/2012
                ",sold,65.1,53.98
La vallée de la Cagne,170500,60000,80000,Stamped,1905,Oil / Canvas,303,"Christie's New York, Rockefeller Center","05/02/2012
                ",sold,27.94,14.3
Abricots et figues,458500,300000,400000,Signed Lower Left,nogiven,Oil / Canvas,311,"Christie's New York, Rockefeller Center","05/02/2012
                ",sold,41.91,32.08
Tête de Madeleine,578500,500000,700000,Stamped,1912-1914,Oil / Canvas,312,"Christie's New York, Rockefeller Center","05/02/2012
                ",sold,31.12,39.07
Portrait de Coco,722500,500000,700000,Stamped,1903-04,Oil / Canvas,319,"Christie's New York, Rockefeller Center","05/02/2012
                ",sold,33.02,40.97
Paysage de Cagnes,362500,250000,450000,Signed Lower Left,nogiven,Oil / Canvas,326,"Christie's New York, Rockefeller Center","05/02/2012
                ",sold,65.74,54.94
Portrait de Jean Renoir,362500,300000,400000,Stamped,1896,Oil / Canvas,348,"Christie's New York, Rockefeller Center","05/02/2012
                ",sold,27.94,32.72
Femme nue assise au linge,0,120000,160000,Signed Lower Right,1910,Oil / Canvas,362,"Christie's New York, Rockefeller Center","05/02/2012
                ",sold,22.23,27.31
Le torse nu ,662500,700000,1000000,Signed Lower Right,1885,Pastel / Paper,27,"Christie's New York, Rockefeller Center","05/01/2012
                ",sold,46.99,60.33
Lady wearing a hat against a floral background,600,4000,6000,Signed Monogram,nogiven,Pastel / Paper,713,Midwest Auction Galleries,"04/21/2012-04/22/2012
                ",sold,26.67,33.66
Bouquet de roses,0,656050,918470,Signed,nogiven,Oil / Canvas,31,Millon & Associes,"04/20/2012
                ",sold,38.0,35.0
Buste de jeune femme au chignon,0,42320,46280,Unavailable,nogiven,Oil / Canvas,40,Kâ-Mondo (Kapandji Morhange),"03/21/2012
                ",sold,9.8,13.0
Tête de Femme,60000,70000,90000,Signed Initials,nogiven,Oil / Canvas,31,Gray's Auctioneers LLC,"03/15/2012
                ",sold,20.96,26.67
Esquisse pour Oedipe ,68460,47490,79150,Stamped,nogiven,Oil / Canvas,178,"Christie's London, South Kensington","02/10/2012
                ",sold,23.5,15.5
NU ASSIS,287790,158780,238170,Signed Lower Right,1890-94,Oil / Canvas,135,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,14.3,18.1
FEMME EN BLEU,954660,476340,793900,Signed,nogiven,Oil / Canvas,157,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,27.0,33.0
NATURE MORTE AU FRUITS,497380,238170,396950,Signed Lower Left,nogiven,Oil / Canvas,160,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,33.0,20.5
PAYSAGE,249680,111150,142900,Signed Lower Right,C1900,Oil / Canvas,213,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,32.5,19.0
PAYSAGE,249680,95270,127020,Unsigned,1900,Oil / Canvas,217,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,33.7,18.3
UN DE DEUX PANNEAUX POUR L'ŒDIPE: JOCASTE,158220,111150,142900,Stamped,1895,Oil / Canvas,312,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,36.4,96.1
UN DES DEUX PANNEAUX POUR L'ŒDIPE: ŒDIPUS REX,158220,95270,127020,Stamped,1895,Oil / Canvas,313,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,36.4,96.1
ÉTUDE: TÊTE D'ENFANT ,0,39700,55570,Unsigned,nogiven,Oil / Canvas,378,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,6.7,7.5
RUE A VILLENEUVE-LES-AVIGNON,249680,111150,142900,Signed Lower Right,1905,Oil / Canvas,393,"Sotheby's London, New Bond Street","02/09/2012
                ",sold,33.0,21.5
PORTRAIT DE FEMME AU BANDEAU VERT,1270910,633200,949800,Signed Lower Left,1905,Oil / Canvas,45,"Sotheby's London, New Bond Street","02/08/2012
                ",sold,35.9,45.0
Paysage à la cabane ,438890,237450,316600,Signed Lower Left,nogiven,Oil / Canvas,441,"Christie's London, King Street","02/08/2012
                ",sold,40.7,30.2
Buste de femme en costume oriental,628850,284940,395750,Signed,1895,Oil / Canvas,523,"Christie's London, King Street","02/08/2012
                ",sold,24.4,29.5
Femmes dans un paysage,685830,395750,554050,Stamped,1918,Oil / Canvas,524,"Christie's London, King Street","02/08/2012
                ",sold,63.5,50.0
Femme en rouge lisant,153520,94720,126290,Stamped,1895,Oil / Canvas,6,Bonhams Bond Street,"02/07/2012
                ",sold,18.2,29.2
Buste de femme nue,1656350,947160,1420740,Unavailable,1879,Oil / Canvas,42,"Christie's London, King Street","02/07/2012
                ",sold,35.8,44.6
"Paysage de Cagnes, circa 1910",0,200730,267640,Signed Lower Left,1910,Oil / Canvas,58,Delorme Collin Du Bocage Paris,"12/09/2011
                ",sold,38.0,26.0
Le Repos ,1518720,759360,1084800,Signed Lower Left,1900,Oil / Canvas,3209,"Galerie Koller, AG, Zurich","12/05/2011-12/09/2011
                ",sold,30.0,40.0
Les bécasses,0,40170,66950,Signed Lower Right,nogiven,Oil / Canvas,62,Artcurial Deauville,"12/04/2011
                ",sold,20.0,14.0
Buste de femme blonde,193720,160320,240480,Signed,1908,Oil / Canvas,24,Christie's Paris,"12/01/2011
                ",sold,23.0,29.2
ROSES,272300,256400,384600,Signed Lower Left,nogiven,Oil / Canvas,654,"Est-Ouest Auctions Co., Ltd.","11/27/2011-11/29/2011
                ",sold,28.0,23.0
CHEMIN ET SORTIE DE BOIS ROUX,0,153840,230760,Signed Lower Left,1898,Oil / Canvas,655,"Est-Ouest Auctions Co., Ltd.","11/27/2011-11/29/2011
                ",sold,37.0,28.0
Paysage de Provence,158410,65550,98330,Signed Lower Right,nogiven,Oil / Canvas,13,Galerie Fischer Auktionen AG,"11/23/2011-11/25/2011
                ",sold,33.3,19.3
Etude pour le portrait de Coco,121570,108060,135080,Signed,1905,Oil / Canvas,27,Kâ-Mondo (Kapandji Morhange),"11/23/2011
                ",sold,17.0,22.5
Tête de Femme,0,70000,90000,Signed Initials,1896-1900,Oil / Canvas,33,Gray's Auctioneers LLC,"11/17/2011
                ",sold,20.96,26.67
Main de Coco,29130,20560,27410,Stamped,nogiven,Oil / Canvas,36,Christie's Amsterdam,"11/15/2011
                ",sold,18.0,14.0
Paysage aux environs de Cagnes,440380,344050,481670,Signed Lower Right,nogiven,Oil / Canvas,1050,"Im Kinsky Kunst Auktionen, Vienna","11/08/2011-11/09/2011
                ",sold,46.0,27.0
Le Bouquet,657250,500000,700000,Signed Lower Left,1910,Oil / Canvas,64032,Heritage Auctions,"11/08/2011
                ",sold,31.75,43.18
Femme de profil,256000,256000,320000,Signed Lower Left,nogiven,Oil / Canvas,321,Mainichi Auction Inc.,"11/05/2011
                ",sold,27.0,34.7
A lady wearing a hat against a floral background,2300,4000,6000,Signed Monogram,nogiven,Pastel / Paper,453,Midwest Auction Galleries,"11/05/2011-11/06/2011
                ",sold,26.67,33.66
"BUSTE DE FEMME, CHAPEAU DE PAILLE GARNI",1082500,700000,1000000,Signed Lower Left,nogiven,Oil / Canvas,118,Sotheby's New York,"11/03/2011
                ",sold,39.07,48.26
REINES-CLAUDE,0,350000,450000,Signed Lower Left,nogiven,Oil / Canvas,177,Sotheby's New York,"11/03/2011
                ",sold,46.05,24.13
