Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
"LE PRÉ À ÉRAGNY, ÉTÉ, SOLEIL, FIN D'APRÈS-MIDI",2724650,1966900,2950350,Signed Lower Right,1901,Oil / Canvas,54,"Sotheby's London, New Bond Street","06/25/2008
                ",sold,81.0,65.0
Saules au ruisseau,0,23600,35400,Stamped,1880s,Watercolor and pencil / Paper,337,"Christie's London, King Street","06/25/2008
                ",sold,29.2,22.9
La Place du Havre et la gare Saint-Lazare,2506270,3936800,5905200,Signed and Dated,1893,Oil / Canvas,19,"Christie's London, King Street","06/24/2008
                ",sold,46.4,38.1
"La vigne, après-midi, Moret",0,787360,1181040,Signed and Dated,1902,Oil / Canvas,47,"Christie's London, King Street","06/24/2008
                ",sold,55.5,46.6
Lisière de bois,2506270,1181040,1771560,Signed and Dated,1878,Oil / Canvas,54,"Christie's London, King Street","06/24/2008
                ",sold,83.2,63.0
"MATCH DE CRICKET À BEDFORD PARK, LONDRES""",2364940,389680,545550,Signed Lower Right,1897,Oil / Canvas,3,Grisebach,"05/30/2008
                ",sold,65.41,53.98
Vue sur le village d'Osny,1482160,1247280,1870920,Signed Lower Right,1883,Oil / Canvas,50,Christie's Paris,"05/21/2008
                ",sold,73.0,60.0
LA MAISON DE PIETTE A MONTFOUCAULT,825000,700000,900000,Signed Lower Right,1874,Oil / Canvas,144,Sotheby's New York,"05/08/2008
                ",sold,55.58,45.72
"ST. VARLE, CHATILLON SUR SEINE",49000,40000,60000,Signed Lower Right,nogiven,Watercolor and gouache / Paper,150,Sotheby's New York,"05/08/2008
                ",sold,16.51,21.92
JARDIN A ERAGNY,145000,120000,180000,Unavailable,1900,Oil / Canvas,152,Sotheby's New York,"05/08/2008
                ",sold,65.1,54.61
"MAISON DE MONSIEUR MUSY, LOUVECIENNES",0,1250000,1750000,Signed Lower Left,1870,Oil / Canvas,26,Sotheby's New York,"05/07/2008
                ",sold,64.77,43.51
"ERAGNY, LE SOIR",21250,15000,20000,Signed Lower Right,1890,Watercolor and pencil / Paper,108,"Christie's New York, Rockefeller Center","05/07/2008
                ",sold,12.7,17.78
"TERRAIN LABOURE, ERAGNY",37000,25000,35000,Inscribed and Signed,1888,Watercolor and pencil / Paper,109,"Christie's New York, Rockefeller Center","05/07/2008
                ",sold,29.21,22.86
LES CORDONNIERS,457000,450000,650000,Signed Lower Left,nogiven,Pastel / Paper,119,"Christie's New York, Rockefeller Center","05/07/2008
                ",sold,46.23,60.66
"LA RECOLTE DES POMMES DE TERRE, PONTOISE",1273000,700000,900000,Signed Lower Left,1874,Oil / Canvas,408,"Christie's New York, Rockefeller Center","05/07/2008
                ",sold,41.15,33.02
"ENTREE DU PORT DU HAVRE, TEMPS GRIS",229000,140000,180000,Signed Lower Right,1903,Oil / Canvas,412,"Christie's New York, Rockefeller Center","05/07/2008
                ",sold,34.29,26.67
"VUE DE MA FENETRE, INONDATION, EFFET DU WOIR, ERAGNY",1329000,1000000,1500000,Signed Lower Right,1893,Oil / Canvas,13,"Christie's New York, Rockefeller Center","05/06/2008
                ",sold,53.85,65.1
"PATURAGE, COUCHER DE SOLEIL, ERAGNY",1833000,1500000,1800000,Signed Lower Right,1890,Oil / Canvas,16,"Christie's New York, Rockefeller Center","05/06/2008
                ",sold,45.72,37.8
"LE GRAND NOYER, MATIN, ERAGNY",4073000,2500000,3500000,Signed Lower Right,1901,Oil / Canvas,43,"Christie's New York, Rockefeller Center","05/06/2008
                ",sold,91.95,72.9
LA FERME DU FRICHE A OSNY,0,1500000,2500000,Signed Lower Right,1883,Oil / Canvas,48,"Christie's New York, Rockefeller Center","05/06/2008
                ",sold,55.88,46.23
ÉTUDE POUR UN TABLEAU: PAYSANNES PLANTANT DES RAMES,57720,39400,49250,Signed Lower Right,1891,Watercolor and pencil / Paper,102,"Sotheby's London, New Bond Street","02/06/2008
                ",sold,21.4,27.0
LES SEIGLES,0,49250,68950,Signed,1888,Watercolor and pencil / Paper,105,"Sotheby's London, New Bond Street","02/06/2008
                ",sold,31.5,24.1
"PAYSANNE AVEC UN ÂNE, PONTOISE",0,1182060,1576080,Unavailable,1877,Oil / Canvas,319,"Sotheby's London, New Bond Street","02/06/2008
                ",sold,55.2,46.3
MAISON DE PAYSANS,4676910,1577040,2365560,Signed Lower Left,1892,Oil / Canvas,67,"Sotheby's London, New Bond Street","02/05/2008
                ",sold,73.0,59.5
Sous-bois à Moret,521410,492830,689960,Signed Lower Left,1902,Oil / Canvas,261,"Christie's London, King Street","02/05/2008
                ",sold,49.8,60.3
La route de Louveciennes,920930,688000,1081140,Signed and Dated,1872,Oil / Canvas,3,"Christie's London, King Street","02/04/2008
                ",sold,46.0,32.8
"Poiriers en fleur, Eragny",2021720,1965700,2948550,Signed and Dated,1894,Oil / Canvas,15,"Christie's London, King Street","02/04/2008
                ",sold,64.5,54.6
"Statue d'Henri IV, matin, soleil ",3122510,2948550,4914250,Signed and Dated,1902,Oil / Canvas,16,"Christie's London, King Street","02/04/2008
                ",sold,92.7,73.6
"Le Louvre, effet de brume",0,786280,1179420,Signed and Dated,1901,Oil / Canvas,75,"Christie's London, King Street","02/04/2008
                ",sold,46.4,38.7
Pontoise. Um 1874,40560,35270,0,Stamped,1874,Watercolor and pencil / Paper,104,"Ketterer Kunst, Munich","12/05/2007
                ",sold,25.1,17.7
Paysanne couchée dans l'herbe et dormant,140900,87830,117110,Signed Lower Right,1883,Pastel / Paper,46,Christie's Paris,"12/03/2007
                ",sold,55.6,47.5
Deux paysannes dans un champs des choux. Ca. 1886,0,82140,95830,Signed Initials,1886,Pastel / Paper,682,"Neumeister Kunstauktionen, Munich","11/15/2007
                ",sold,28.5,19.5
Paysanne Bechant,2057000,1800000,2500000,Signed Lower Left,1882,Oil / Canvas,6,Sotheby's New York,"11/07/2007
                ",sold,54.94,66.04
"Rue Des Roches Au Valhermeil A Auvers-Sur-Oise, Chaumieres Et Vache",3625000,2000000,3000000,Signed Lower Right,1880,Oil / Canvas,8,Sotheby's New York,"11/07/2007
                ",sold,72.39,60.02
La gardeuse d'oies,0,140000,180000,Signed Lower Right,1890,Gouache / Paper,189,"Christie's New York, Rockefeller Center","11/07/2007
                ",sold,16.51,24.46
Les travailleurs aux champs,217000,200000,300000,Signed Lower Left,nogiven,Gouache / Silk,309,"Christie's New York, Rockefeller Center","11/07/2007
                ",sold,19.69,25.4
"Vue sur la nouvelle prison de pontoise, printmeps",2953000,2500000,3500000,Signed Lower Right,1881,Oil / Canvas,7,"Christie's New York, Rockefeller Center","11/06/2007
                ",sold,65.1,59.69
L'Hiver,14601000,12000000,18000000,Signed Lower Right,1872,Oil / Canvas,11,"Christie's New York, Rockefeller Center","11/06/2007
                ",sold,131.78,55.58
"Charrette sur une route, hiver, environs de Louveciennes",1161000,800000,1200000,Signed Lower Left,1872,Oil / Canvas,13,"Christie's New York, Rockefeller Center","11/06/2007
                ",sold,46.05,32.72
"Les peupliers, apres-midi a Eragny",5417000,4500000,6500000,Signed Lower Left,1899,Oil / Canvas,28,"Christie's New York, Rockefeller Center","11/06/2007
                ",sold,92.41,72.39
Coucher du soleil à Eragny,0,11990,15990,Stamped,nogiven,Watercolor / Paper,4,Bonhams Bond Street,"06/27/2007
                ",sold,15.57,12.07
"KENSINGTON GARDENS, LONDON",61950,29790,39710,Stamped,1890,Watercolor / Paper,201,"Sotheby's London, New Bond Street","06/20/2007
                ",sold,25.4,16.51
ÉVENTAIL: LE PRINTEMPS,381250,158860,238280,Signed Lower Left,nogiven,Gouache / Silk,312,"Sotheby's London, New Bond Street","06/20/2007
                ",sold,53.0,24.0
LA MACHINE DE MARLY À BOUGIVAL,884830,496430,695000,Signed Lower Right,1869,Oil / Panel,321,"Sotheby's London, New Bond Street","06/20/2007
                ",sold,45.4,23.5
JULIE ET LUDOVIC-RODOLPHE PISSARRO DANS LES FLEURS,1371270,1387120,1981600,Signed,1879,Oil / Canvas,12,"Sotheby's London, New Bond Street","06/19/2007
                ",sold,46.0,38.0
Eragny sous la neige,0,19820,29720,Inscribed and Signed,1885,Watercolor / Paper,113,"Christie's London, King Street","06/19/2007
                ",sold,24.64,17.02
"Le Marché aux Halles, Paris",35670,29720,39630,Signed Lower Left,nogiven,Oil / Canvas,120,"Christie's London, King Street","06/19/2007
                ",sold,24.13,30.73
Les dunes à Knokke,0,297240,396320,Stamped,1894,Oil / Canvas,328,"Christie's London, King Street","06/19/2007
                ",sold,80.98,64.14
"Le Pont Neuf, naufrage de la 'Bonne Mère'",6681250,4348740,6325440,Signed Lower Right,1901,Oil / Canvas,9,"Christie's London, King Street","06/18/2007
                ",sold,81.28,65.28
"La maison de Monsieur Musy, route de Marly, Louveciennes",1146490,790680,1186020,Signed Lower Left,1872,Oil / Canvas,12,"Christie's London, King Street","06/18/2007
                ",sold,54.61,41.28
Canards sur l'étang de Montfoucault,1035790,790680,1186020,Signed Lower Right,1874,Oil / Canvas,34,"Christie's London, King Street","06/18/2007
                ",sold,55.37,46.23
Deux paysannes dans un champs des choux. Ca. 1886,70020,79270,92480,Signed Monogram,1886,Pastel / Paper,392,"Neumeister Kunstauktionen, Munich","05/24/2007
                ",sold,28.5,19.5
Le repos des moissonneurs,40380,20190,26920,Signed Lower Left,nogiven,Watercolor / Canvas,6,Christie's Paris,"05/23/2007
                ",sold,19.6,15.5
"Rue de l'Hermitage et côte des Mathurins, Pontoise",396000,250000,350000,Signed Lower Right,1878,Oil / Canvas,269,"Christie's New York, Rockefeller Center","05/10/2007
                ",sold,35.56,43.51
Briqueterie Delafolie à Eragny,2840000,2500000,3500000,Signed Lower Left,1886,Oil / Canvas,39,"Christie's New York, Rockefeller Center","05/09/2007
                ",sold,71.76,57.79
PAYSANNES SOUS LES ARBRES À MORET,600000,500000,700000,Signed Lower Left,1902,Oil / Canvas,149,Sotheby's New York,"05/09/2007
                ",sold,46.69,55.58
PAYSAGE EN AUTOMNE,0,600000,800000,Signed Lower Left,1880,Oil / Canvas,165,Sotheby's New York,"05/09/2007
                ",sold,65.41,54.94
"LES LAVEUSES A ERAGNY, ESQUISSE",1328000,800000,1200000,Stamped,1901,Oil / Canvas,191,Sotheby's New York,"05/09/2007
                ",sold,92.41,73.36
"Le Grand Noyer Au Printemps, Eragny",2728000,1800000,2500000,Signed Lower Right,1894,Oil / Canvas,2,Sotheby's New York,"05/08/2007
                ",sold,72.9,59.69
"Le Fond-De-L'Hermitage, Pontoise",1720000,1500000,2000000,Signed Lower Left,1877,Oil / Canvas,5,Sotheby's New York,"05/08/2007
                ",sold,53.85,65.28
"Le Jardin De Maubuisson, Pontoise, Poiriers En Fleur",3400000,1800000,2500000,Signed Lower Left,1877,Oil / Canvas,56,Sotheby's New York,"05/08/2007
                ",sold,80.98,65.1
Le Kalfmolen A Knokke,1048000,700000,900000,Signed Lower Right,1894,Oil / Canvas,61,Sotheby's New York,"05/08/2007
                ",sold,65.74,53.85
Vue d'une rue à Troyes,30360,19970,26630,Signed Initials,1898,Watercolor / Paper,348,Christie's Paris,"03/22/2007
                ",sold,17.8,23.5
Paysanne,12000,7000,10000,Signed Lower Right,nogiven,Oil / Canvas,15,"Christie's New York, Rockefeller Center","02/14/2007
                ",sold,9.22,15.24
"Louveciennes, Vue Sur le Mont Valérien",0,49270,68970,Signed Initials,1871,Pastel / Paper,504,"Christie's London, King Street","02/08/2007
                ",sold,37.16,27.0
Etang de Montfoucault,0,157650,236470,Inscribed and Signed,nogiven,Pastel / Paper,513,"Christie's London, King Street","02/08/2007
                ",sold,37.8,26.04
Le Repos Sous les Arbres,3995240,3924600,5886900,Signed Lower Right,1872,Oil / Canvas,10,"Christie's London, King Street","02/06/2007
                ",sold,235.71,187.96
Paul-Emile Pissarro,610670,392460,588690,Signed Lower Right,1890,Oil / Canvas,315,"Sotheby's London, New Bond Street","02/06/2007
                ",sold,33.66,41.61
Baigneuses,610670,294350,392460,Signed Lower Right,1894,Oil / Canvas,331,"Sotheby's London, New Bond Street","02/06/2007
                ",sold,34.93,27.0
"Le Verger Du Manoir D'Ango, Varengeville, Matin",3343220,2949900,3933200,Signed Lower Left,1899,Oil / Canvas,28,"Sotheby's London, New Bond Street","02/05/2007
                ",sold,53.98,65.1
"Les Mathurins, Pontoise",800000,800000,1200000,Signed and Dated,1877,Oil / Canvas,356,"Christie's New York, Rockefeller Center","11/09/2006
                ",sold,59.39,73.03
"Prairie à Eragny, temps gris",3152000,2000000,3000000,Signed and Dated,1888,Oil / Canvas,11,"Christie's New York, Rockefeller Center","11/08/2006
                ",sold,71.76,59.94
Femme bêchant,1920000,800000,1200000,Signed and Dated,1883,Oil / Canvas,16,"Christie's New York, Rockefeller Center","11/08/2006
                ",sold,38.1,46.36
Ramasseusses de pommes,486400,400000,600000,Signed and Dated,1891,Gouache  and silk / Paper,18,"Christie's New York, Rockefeller Center","11/08/2006
                ",sold,21.59,26.04
"Vue de Bazincourt, givre, matin",1192000,600000,800000,Signed and Dated,1892,Oil / Canvas,79,"Christie's New York, Rockefeller Center","11/08/2006
                ",sold,66.04,53.98
La laveuse ,1136000,1000000,1500000,Signed and Dated,1879,Oil / Canvas,80,"Christie's New York, Rockefeller Center","11/08/2006
                ",sold,46.74,55.37
PAYSANNE RATTACHANT SA MARMOTTE,912000,500000,700000,Signed Lower Right,1882,Gouache / Silk,3,Sotheby's New York,"11/07/2006
                ",sold,38.1,54.61
"VUE DE BAZINCOURT, INONDATION, EFFET DU MATIN",632000,900000,1200000,Signed Lower Right,1892,Oil / Canvas,71,Sotheby's New York,"11/07/2006
                ",sold,65.41,54.31
Bretonne à la Barette,8400,8000,12000,Signed Initials,1890,Watercolor  brush and gray wash and charcoal heightened with white gouache / Paper,33,"Christie's New York, Rockefeller Center","09/14/2006
                ",sold,21.59,30.48
Personnages,9000,6000,8000,Stamped,nogiven,Watercolor and pencil / Paper,38,"Christie's New York, Rockefeller Center","09/14/2006
                ",sold,16.84,21.92
PAYSAGE,7760,3693,5540,Stamped,nogiven,Gouache / Paper,116,"Sotheby's London, Olympia","07/11/2006
                ",sold,14.0,9.0
Paysage au soleil couchant,97750,75000,95000,Signed Initials,nogiven,Gouache / Paper,133,Matsart Auctioneers & Appraisers,"06/25/2006
                ",sold,57.0,27.0
"Vase de fleurs, tulipes et genêts",281930,240290,320380,Signed and Dated,1900,Oil / Canvas,230,"Christie's London, King Street","06/21/2006
                ",sold,33.0,41.0
"Femme en chemise, près d'un lit",263990,224270,288340,Stamped,1896,Oil / Canvas,243,"Christie's London, King Street","06/21/2006
                ",sold,33.0,40.9
LES COTEAUX DE THIERCEVILLE,48700,46120,64560,Signed Lower Right,1889-90,Pastel / Linen,102,"Sotheby's London, New Bond Street","06/20/2006
                ",sold,30.8,20.0
"La vallée de la Seine aux Damps, jardin d'Octave Mirbeau",1537820,640760,961140,Signed and Dated,1892,Oil / Canvas,104,"Christie's London, King Street","06/20/2006
                ",sold,92.5,65.0
"Le Pont Boïeldieu et la gare d'Orléans, Rouen, matin, cinq heures",2524590,1922280,2563040,Signed and Dated,1898,Oil / Canvas,106,"Christie's London, King Street","06/20/2006
                ",sold,80.5,64.4
"Le Potager du manoir d'Ango, Varengeville, soleil couchant",1806940,1601900,2402850,Signed and Dated,1899,Oil / Canvas,111,"Christie's London, King Street","06/20/2006
                ",sold,54.3,64.8
FEMME COUSANT,172660,119910,156800,Signed Lower Left,1881,Gouache / Paper,113,"Sotheby's London, New Bond Street","06/20/2006
                ",sold,20.0,25.0
LA VACHÈRE,132820,110680,147580,Signed Lower Right,1880,Oil / Paper,304,"Sotheby's London, New Bond Street","06/20/2006
                ",sold,16.3,25.9
"PROMENADE AU BORD DE L'EAU, PONTOISE",0,258260,332050,Signed Lower Left,1877,Oil / Canvas,311,"Sotheby's London, New Bond Street","06/20/2006
                ",sold,27.3,21.8
VUE SUR LE VILLAGE DE BAZINCOURT,429480,370240,555360,Signed Lower Left,1889,Oil / Panel,5,"Sotheby's London, New Bond Street","06/19/2006
                ",sold,23.8,15.4
"LES PEUPLIERS, MATIN, ÉRAGNY",4472500,1480960,2221440,Signed Lower Right,1893,Oil / Canvas,7,"Sotheby's London, New Bond Street","06/19/2006
                ",sold,65.0,54.0
"RUE DE L'HERMITAGE, PONTOISE",1300280,1480960,1851200,Signed Lower Left,1879,Oil / Canvas,8,"Sotheby's London, New Bond Street","06/19/2006
                ",sold,46.0,37.7
LE JARDIN D'ÉRAGNY,968550,1110720,1480960,Signed Lower Right,1895,Oil / Canvas,27,"Sotheby's London, New Bond Street","06/19/2006
                ",sold,73.0,59.8
"PAYSAGE AVEC MAISONS ET MUR DE CLÔTURE, GIVRE ET BRUME, ÉRAGNY",533150,647920,833040,Signed Lower Left,1892,Oil / Canvas,34,"Sotheby's London, New Bond Street","06/19/2006
                ",sold,55.0,46.0
Feuille d'esquisses prises d'un hotel sur la rue,17420,0,19350,Stamped,nogiven,Watercolor / Paper,684,Galerie Kornfeld and Cie,"06/15/2006
                ",sold,23.0,18.0
Paysage Vallonne En Hiver,318400,300000,500000,Signed Lower Right,1875,Oil / Canvas,7,Sotheby's New York,"05/03/2006
                ",sold,55.88,39.07
Les dernières gerbes,28800,15000,20000,Signed Lower Left,nogiven,Watercolor and gouache / Paper,201,"Christie's New York, Rockefeller Center","05/03/2006
                ",sold,25.4,19.69
Eragny,36000,25000,35000,Signed and Titled,1890,Watercolor  and Conte Crayon / Paper,209,"Christie's New York, Rockefeller Center","05/03/2006
                ",sold,29.21,22.86
Le Père Melon allumant sa pipe,240000,150000,200000,Signed Lower Right,1879-1880,Pastel / Paper,215,"Christie's New York, Rockefeller Center","05/03/2006
                ",sold,45.72,56.52
Le clocher de Bazincourt,192000,150000,200000,Signed Lower Right,1885,Oil / Canvas,302,"Christie's New York, Rockefeller Center","05/03/2006
                ",sold,27.0,34.93
"L'Eglise Saint-Jacques, Dieppe, matin, soleil",2256000,2000000,3000000,Signed and Dated,1901,Oil / Canvas,5,"Christie's New York, Rockefeller Center","05/02/2006
                ",sold,92.08,73.03
"Etude de paysanne en plein air, bêchant",1864000,1000000,1500000,Signed and Dated,1882,Oil / Canvas,8,"Christie's New York, Rockefeller Center","05/02/2006
                ",sold,55.25,64.77
JARDIN À ERAGNY,0,174740,262110,Unavailable,1899,Oil / Canvas,319,"Sotheby's London, New Bond Street","02/08/2006
                ",sold,65.0,54.5
PLACE DE LA RÉPUBLIQUE À ROUEN ,757670,349480,524220,Stamped,1883,Oil / Canvas,324,"Sotheby's London, New Bond Street","02/08/2006
                ",sold,55.6,46.2
"LE COURS-LA-REINE, LA CATHÉDRALE NOTRE-DAME, ROUEN",1194560,439180,614850,Signed Lower Right,1898,Oil / Canvas,40,"Sotheby's London, New Bond Street","02/07/2006
                ",sold,65.0,54.0
Fenaison à Eragny,2207140,1469250,1959000,Signed and Dated,1891,Oil / Canvas,56,"Christie's London, King Street","02/06/2006
                ",sold,38.7,47.0
"Neaufles-Saint-Martin, près de Gisors",1292940,1142750,1632500,Signed and Dated,1885,Oil / Canvas,59,"Christie's London, King Street","02/06/2006
                ",sold,46.2,38.4
Ramasseuse d'herbe,231550,231550,297700,Signed and Dated,1882,Gouache / Paper on board,74,"Christie's London, King Street","02/06/2006
                ",sold,27.0,37.0
Assembly in San Jose with two men. Studies of babies,16000,10000,15000,Signed,nogiven,Watercolor / Paper,149,"Christie's New York, Rockefeller Center","01/24/2006
                ",sold,25.4,20.32
Two women cooking in a kitchen. House with figures nearby a portrait of Frits Melbye sketching,10000,10000,15000,Unavailable,nogiven,Watercolor / Paper,177,"Christie's New York, Rockefeller Center","01/24/2006
                ",sold,27.94,20.32
"Three figures by a fountain, Saint Lazaro in the mountains",10000,10000,15000,Inscribed,nogiven,Watercolor / Paper,186,"Christie's New York, Rockefeller Center","01/24/2006
                ",sold,27.94,20.32
